course status	course_dept	course_id	course_time	number_seats	open_seats	course_name	instructor	discussion_time
in person	AASP	AASP297	TuTh 2:00pm 3:15pm	20	20	Research Methods in African American Studies	Sharon Harley	
online	AASP	AASP100	MWF 10:00am 10:50am	21	0	Introduction to African American Studies	Shane Walsh	
online	AASP	AASP100	MWF 12:00pm 12:50pm	21	0	Introduction to African American Studies	Shane Walsh	
online	AASP	AASP100	TuTh 11:00am 12:15pm	18	0	Introduction to African American Studies	Shane Walsh	
online	AASP	AASP100	TuTh 12:30pm 1:45pm	18	1	Introduction to African American Studies	George Kintiba	
online	AASP	AASP100	TuTh 11:00am 12:15pm	21	0	Introduction to African American Studies	Jason Nichols	
online	AASP	AASP100	TuTh 2:00pm 3:15pm	21	0	Introduction to African American Studies	Jason Nichols	
online	AASP	AASP100H	TuTh 11:00am 12:15pm	5	1	Introduction to African American Studies	Shane Walsh	
online	AASP	AASP100H	TuTh 12:30pm 1:45pm	5	2	Introduction to African American Studies	George Kintiba	
online	AASP	AASP101	TuTh 12:30pm 1:45pm	21	4	Public Policy and the Black Community	Cecily Hardaway	
online	AASP	AASP187	Th 3:30pm 6:00pm	12	0	The New Jim Crow: African-Americans, Mass Incarceration and the Prison Industrial Complex	Kameron Patterson	
online	AASP	AASP200	MW 11:00am 12:15pm	40	15	African Civilization	George Kintiba	
online	AASP	AASP202	TuTh 11:00am 12:15pm	30	3	Black Culture in the United States	Robert Choflet	
online	AASP	AASP202	MWF 1:00pm 1:50pm	35	22	Black Culture in the United States	Renina Jarmon	
online	AASP	AASP202	MWF 11:00am 11:50am	35	23	Black Culture in the United States	Renina Jarmon	
online	AASP	AASP202	TuTh 2:00pm 3:15pm	35	20	Black Culture in the United States	Robert Choflet	
online	AASP	AASP202H	TuTh 11:00am 12:15pm	5	3	Black Culture in the United States	Robert Choflet	
online	AASP	AASP211	Tu 3:30pm 6:00pm	72	0	Get Out: The Sunken Place of Race Relations in the Post-Racial Era	Jason Nichols,Shane Walsh	
online	AASP	AASP298L	TuTh 12:30pm 1:45pm	18	1	African-American Literature and Culture	Chauncey Dennie	
online	AASP	AASP298Z	M 2:00pm 4:30pm	43	40	Special Topics in African American Studies; Jazz as a Cultural Art Form	Ronald Zeigler	
online	AASP	AASP386	F 2:00pm 4:30pm	10	10	Experiential Learning	Marshal Washington	
online	AASP	AASP395	TuTh 3:30pm 4:45pm	20	20	Fundamentals of Quantitative Research in Socio-Cultural Perspective	Cecily Hardaway	
online	AASP	AASP398C	TuTh 2:00pm 3:15pm	25	0	Selected Topics in the African Diaspora; African American Literature	Julius Fleming	
online	AASP	AASP398Z	M 2:00pm 4:30pm	35	27	Selected Topics in the African Diaspora; Black Contributions to History	George Kintiba	
online	AASP	AASP411	Tu 4:30pm 7:00pm	35	30	Black Resistance Movements	Ricco Hall	
online	AASP	AASP412	Th 4:00pm 6:30pm	35	33	Inventing (and Reinventing) Whiteness: The Origins, Transformations, and Future Abolition of the White Race	Robert Choflet	
online	AASP	AASP498E	Th 3:30pm 6:00pm	25	20	Special Topics in Black Culture; Emotions and Culture in the African-American Community	Angel Dunbar	
online	AASP	AASP498I	TuTh 12:30pm 1:45pm	36	0	Special Topics in Black Culture; Women and the Civil Rights Movement	Elsa Barkley Brown	
online	AASP	AASP498J	TuTh 9:30am 10:45am	35	25	Special Topics in Black Culture; Racial Socialization of Children and Adolescents: Theory, Research and Practice	Angel Dunbar	
online	AASP	AASP498Y	Th 12:30pm 1:45pm	30	8	Special Topics in Black Culture; Black Queer Studies	Sydney Lewis	
online	AASP	AASP499T	Tu 4:00pm 6:30pm	35	26	Advanced Topics in Public Policy and the Black Community; Race and the Juvenile Justice System: A Contextual Analysis of Structural and Interpersonal Violence	Joseph Richardson	
online	AAST	AAST200	TuTh 2:00pm 3:15pm	40	8	Introduction to Asian American Studies	Julie Park	
online	AAST	AAST201	TuTh 12:30pm 1:45pm	60	10	Asian American History	Terry Park	
online	AAST	AAST233	TuTh 9:30am 10:45am	30	4	Introduction to Asian American Literature	Fatima Taha	
online	AAST	AAST298O	W 5:00pm 7:30pm	30	21	Special Topics in Asian American Studies; South Asian American Experience	Instructor: TBA	
online	AAST	AAST351	TuTh 3:30pm 4:45pm	30	0	Asian Americans and Media	Terry Park	
online	AAST	AAST394	TuTh 3:30pm 4:45pm	30	0	Growing Up Asian American: The Asian Immigrant Family and the Second Generation	Yeram Cheong	
online	AAST	AAST398J	TuTh 2:00pm 3:15pm	25	0	Selected Topics in Asian American Studies; New World Arrivals: Literature of Asian American Migration and Diaspora	Edlie Wong	
online	AAST	AAST398R	TuTh 12:30pm 1:45pm	27	22	Selected Topics in Asian American Studies; Cultural Imagination in the US-China Relations, 1783 to the Present	James Gao	
online	AAST	AAST443	MW 2:00pm 3:15pm	40	0	Asian American Politics	Janelle Wong	
online	AAST	AAST498J	TuTh 12:30pm 1:45pm	60	52	Advanced Topics in Asian American Studies; Asian American Psychology	Derek Iwamoto	
online	AAST	AAST498M	M 5:00pm 7:30pm	20	0	Advanced Topics in Asian American Studies; Asian American Public Policy	Philip Nash	
online	AAST	AAST498X	W 5:00pm 7:30pm	20	0	Advanced Topics in Asian American Studies; Techno-Orientalism	Terry Park	
blended	AAST	AAST498Q	Tu 5:00pm 7:30pm	20	12	Advanced Topics in Asian American Studies; Native Hawaiian Pacific Islander Studies	Gemirald Daus	
online	AGNR	AGNR301	TuTh 3:30pm 4:45pm	169	42	Sustainability	Nathan Hultman	
