course type	course code	time	total	open	waitlist
online	AGST130	None	30	0	9
online	ANSC210	None	80	66	0
online	ANTH265	None	25	0	19
online	ANTH323	None	25	0	12
online	ANTH380	No listed time	35	17	0
online	ANTH741	No listed time	20	17	0
online	ANTH742	No listed time	20	17	0
online	ANTH747	No listed time	20	20	0
online	ANTH748	No listed time	20	20	0
online	AOSC652	None	30	30	0
online	AOSC652	None	1	1	0
online	AREC623	('F', '11:00am', '1:00pm')	27	13	0
online	AREC891	None	10	9	0
online	ARTT255	None	18	0	7
online	ARTT489K	None	16	7	0
online	ARTT489L	None	12	8	0
online	ARTT489P	None	12	7	0
online	ARTT489Q	None	12	8	0
online	ARTT489Q	None	12	5	0
online	ARTT489T	None	12	7	0
online	BCHM463	None	50	47	0
online	BCHM463	None	40	22	0
online	BIOE658G	None	15	10	0
online	BIOE658M	None	15	11	0
online	BIOE658R	None	15	7	0
online	BIOL671	None	10	8	0
online	BISI701	None	30	28	0
online	BISI712	('Th', '2:00pm', '4:00pm')	20	0	0
online	BISI712	('M', '2:00pm', '4:00pm')	10	9	0
online	BISI712	('Th', '2:00pm', '4:00pm')	10	9	0
online	BMSO600	('Tu', '8:45pm', '10:15pm')	25	25	0
online	BMSO601	('W', '8:45pm', '10:15pm')	25	25	0
online	BMSO602	('Tu', '8:45pm', '10:15pm')	25	25	0
online	BMSO603	('Th', '8:45pm', '10:15pm')	25	25	0
online	BMSO758C	('MW', '8:45pm', '10:15pm')	25	25	0
online	BMSO758D	('MW', '8:45pm', '10:15pm')	25	25	0
online	BMSO758E	('M', '8:45pm', '10:15pm')	25	25	0
online	BMSO758F	('W', '8:45pm', '10:15pm')	25	25	0
online	BMSO758M	('M', '8:45pm', '10:15pm')	25	25	0
online	BSCI160	None	24	22	0
online	BSCI161	None	12	10	0
online	BSCI170	None	50	35	0
online	BSCI171	None	24	10	0
online	BSCI171	None	24	23	0
online	BSCI202	('Th', '6:00pm', '8:50pm')	24	10	0
online	BSCI223	('TuTh', '7:00pm', '9:00pm')	20	7	0
online	BSCI238D	None	25	14	0
online	BSCI300	None	50	50	0
online	BSCI301	None	45	34	0
online	BSCI330	('Th', '6:30pm', '9:30pm')	24	6	0
online	BSCI348I	None	10	0	2
online	BSCI353	None	180	1	0
online	BSCI422	None	40	20	0
online	BSCI440	None	40	16	0
